2025-02-15 16:08:25,704 INFO    MainThread:17187 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_setup.py:_flush():68] Configure stats pid to 17187
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_setup.py:_flush():68] Loading settings from /Users/cvk/.config/wandb/settings
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_setup.py:_flush():68] Loading settings from /Users/cvk/Downloads/[CODE] Local Projects/RaS_W-B-Hackathon_25MNRV/wandb/settings
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /Users/cvk/Downloads/[CODE] Local Projects/RaS_W-B-Hackathon_25MNRV/wandb/run-20250215_160825-tzon7pyu/logs/debug.log
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /Users/cvk/Downloads/[CODE] Local Projects/RaS_W-B-Hackathon_25MNRV/wandb/run-20250215_160825-tzon7pyu/logs/debug-internal.log
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_init.py:monkeypatch_ipython():589] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x14568d110>
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_init.py:init():756] calling init triggers
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10, '_wandb': {}}
2025-02-15 16:08:25,705 INFO    MainThread:17187 [wandb_init.py:init():789] starting backend
2025-02-15 16:08:26,736 INFO    MainThread:17187 [wandb_init.py:init():793] sending inform_init request
2025-02-15 16:08:26,759 INFO    MainThread:17187 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-02-15 16:08:26,760 INFO    MainThread:17187 [wandb_init.py:init():808] backend started and connected
2025-02-15 16:08:26,766 INFO    MainThread:17187 [wandb_run.py:_label_probe_notebook():1196] probe notebook
2025-02-15 16:08:26,767 INFO    MainThread:17187 [wandb_init.py:init():901] updated telemetry
2025-02-15 16:08:26,779 INFO    MainThread:17187 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-02-15 16:08:32,259 INFO    MainThread:17187 [wandb_init.py:init():994] starting run threads in backend
2025-02-15 16:08:32,571 INFO    MainThread:17187 [wandb_run.py:_console_start():2385] atexit reg
2025-02-15 16:08:32,571 INFO    MainThread:17187 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-15 16:08:32,572 INFO    MainThread:17187 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-15 16:08:32,572 INFO    MainThread:17187 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-15 16:08:32,574 INFO    MainThread:17187 [wandb_init.py:init():1036] run started, returning control to user process
2025-02-15 16:08:32,574 INFO    MainThread:17187 [wandb_run.py:_finish():2110] finishing run carlkho-cvk-minerva-university/my-awesome-project/tzon7pyu
2025-02-15 16:08:32,574 INFO    MainThread:17187 [jupyter.py:save_history():458] not saving jupyter history
2025-02-15 16:08:32,574 INFO    MainThread:17187 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-15 16:08:32,574 INFO    MainThread:17187 [wandb_init.py:_jupyter_teardown():571] cleaning up jupyter logic
2025-02-15 16:08:32,574 INFO    MainThread:17187 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-02-15 16:08:32,574 INFO    MainThread:17187 [wandb_run.py:_restore():2332] restore
2025-02-15 16:08:32,575 INFO    MainThread:17187 [wandb_run.py:_restore():2338] restore done
2025-02-15 16:08:43,041 INFO    MainThread:17187 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-02-15 16:08:43,043 INFO    MainThread:17187 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2025-02-15 16:08:43,045 INFO    MainThread:17187 [wandb_run.py:_footer_sync_info():3924] logging synced files
